"DGT_DATASET_NAME","DGT_DATASET_REGEX","DGT_RUN_NUMBER_FROM","DGT_RUN_NUMBER_TO","DGT_RUN_CLASS"
"/PromptReco/LHC25ns/DQM","/SingleMu25ns/Run2012D-PromptReco-v.*?/DQM
/MinimumBias25ns/Run2012D-PromptReco-v.*?/DQM
/JetHT25ns/Run2012D-PromptReco-v.*?/DQM
/SinglePhoton25ns/Run2012D-PromptReco-v.*?/DQM",209089,209151,"Collisions12"
"/PromptReco/Cosmics15A/DQM","/Cosmics/Commissioning2015-PromptReco-v1/DQMIO",246908,246507,"Cosmics15"
"/Express/Collisions2015/DQM","/StreamExpress.*?/Run2015.*?-Express-v.*?/DQMIO",262081,262328,"Collisions15"
"/PromptReco/Collisions2015A/DQM","/ZeroBias.*?/Run2015A-PromptReco-v.*?/DQMIO
/Commissioning/Run2015A-PromptReco-v.*?/DQMIO",250930,250932,"Collisions15"
"/PromptReco/Cosmics2015B/DQM","/Cosmics/Run2015B-PromptReco-v1/DQMIO",251170,253658,"Cosmics15"
"/PromptReco/Stage1Test/DQM","/HLTPhysics1/Run2015B-PromptReco-v.*?/DQMIO",251717,251718,"Collisions15"
"/PromptReco/Collisions2015D/DQM","/ZeroBias_0T/Run2015D-PromptReco-v.*?/DQMIO
/SingleMuon_0T/Run2015D-PromptReco-v.*?/DQMIO
/JetHT_0T/Run2015D-PromptReco-v.*?/DQMIO
/SinglePhoton_0T/Run2015D-PromptReco-v.*?/DQMIO

",257032,257059,"Collisions15"
"/PromptReco/Cosmics2015HI/DQM","/Cosmics/HIRun2015-PromptReco-v.*?/DQMIO",262465,300000,"Cosmics15"
"/Express/Collisions2016/DQM","/StreamExpress/Run2016A-Express-v.*?/DQMIO",271000,999999,"Collisions16"
"/PromptReco/Cosmics16A/DQM","/Cosmics/Run2016A-PromptReco-v.*?/DQMIO",271000,271489,"Cosmics16"
"/PromptReco/Cosmics16B/DQM","/Cosmics/Run2016B-PromptReco-v.*?/DQMIO",274150,275418,"Cosmics16"
"/Express/Collisions2016/DQM","/StreamExpress/Run2016B-Express-v.*?/DQMIO",275000,275376,"Collisions16"
"/PromptReco/Collisions2016B/DQM","/ZeroBias/Run2016B-PromptReco-v.*?/DQMIO
/SingleMuon/Run2016B-PromptReco-v.*?/DQMIO
/SinglePhoton/Run2016B-PromptReco-v.*?/DQMIO
/JetHT/Run2016B-PromptReco-v.*?/DQMIO",274957,275376,"Collisions16"
"/Express/Collisions2016/DQM","/StreamExpress/Run2016D-Express-v2/DQMIO",276650,276811,"Collisions16"
"/PromptReco/Collisions2016D/DQM","/ZeroBias/Run2016D-PromptReco-v.*?/DQMIO
/SingleMuon/Run2016D-PromptReco-v.*?/DQMIO
/SinglePhoton/Run2016D-PromptReco-v.*?/DQMIO
/JetHT/Run2016D-PromptReco-v.*?/DQMIO
",276315,276811,"Collisions16"
"/PromptReco/Cosmics16D/DQM","/Cosmics/Run2016D-PromptReco-v.*?/DQMIO",276310,276804,"Cosmics16"
"/Express/Collisions2016/DQM","/StreamExpress/Run2016G-Express-v.*?/DQMIO",278816,280385,"Collisions16"
"/PromptReco/TRKVirginRaw","test",279473,279473,"Collisions16"
"/Express/HICollisions2016A/DQM","/StreamExpress/PARun2016A-Express-v.*?/DQMIO ",284180,284755,"Collisions16"
"/PromptReco/HICollisions2016C/DQM","/ZeroBias/PARun2016C-PromptReco-v.*?/DQMIO
/PASingleMuon/PARun2016C-PromptReco-v.*?/DQMIO
/PAEGJet1/PARun2016C-PromptReco-v.*?/DQMIO",285410,286504,"Collisions16"
"/Express/HICollisions2016C/DQM","/StreamExpressPA/PARun2016C-Express-v.*?/DQMIO",285410,286504,"Collisions16"
"/Express/HICosmics2016C/DQM","/StreamExpressCosmics/PARun2016C-Express-v.*?/DQMIO",285410,286504,"Cosmics16"
"/PromptReco/HICosmics2016C/DQM","/Cosmics/PARun2016C-PromptReco-v.*?/DQMIO",285410,286504,"Cosmics16"
"/Express/Commissioning2017/DQM","/StreamExpressCosmics/Commissioning2017-Express-v.*?/DQMIO",289927,999999,"Commissioning17"
"/Express/Cosmics2017CRUZET/DQM","/StreamExpressCosmics/Commissioning2017-Express-v.*?/DQMIO",289927,294633,"Cosmics17CRUZET"
"/PromptReco/Cosmics17CRUZET/DQM","/Cosmics/Commissioning2017-PromptReco-v.*?/DQMIO",289927,294633,"Cosmics17CRUZET"
"/PromptReco/Cosmics2012/DQM","/Cosmics/Commissioning12-PromptReco-v.*?/DQM",185200,190449,"Cosmics12"
"/Express/Cosmics2013GRIN/DQM","/StreamExpressCosmics/Commissioning2013-Express-v1/DQM",216000,300000,"Cosmics13GRiN"
"/Express/Commissioning2013GRIN/DQM","/StreamExpressCosmics/Commissioning2013-Express-v1/DQM",216000,300000,"Commissioning13"
"/PromptReco/Cosmics14MWGR7/DQM","/Cosmics/Commissioning2014-PromptReco-v3/DQM",226400,227010,"Cosmics14"
"/PromptReco/Cosmics15MWGR10/DQM","/Cosmics/Commissioning2015-PromptReco-v1/DQM",232800,233500,"Cosmics15"
"/PromptReco/Collisions2015A/DQM","/SingleMu/Run2015A-PromptReco-v.*?/DQMIO /MinimumBias/Run2015A-PromptReco-v.*?/DQMIO /JetHT/Run2015A-PromptReco-v.*?/DQMIO /SinglePhoton/Run2015A-PromptReco-v.*?/DQMIO",250862,250862,"Collisions15"
"/PromptReco/Commissioning2015A/DQM","/ZeroBias.*?/Run2015A-PromptReco-v.*?/DQMIO
/Commissioning/Run2015A-PromptReco-v.*?/DQMIO
",248006,248027,"Collisions15"
"/PromptReco/Commissioning2015A/DQM","/ZeroBias.*?/Run2015A-PromptReco-v.*?/DQMIO
/SingleMu/Run2015A-PromptReco-v.*?/DQMIO
/Commissioning/Run2015A-PromptReco-v.*?/DQMIO",248028,248035,"Collisions15"
"/PromptReco/Collisions2015A/DQM","/ZeroBias.*?/Run2015A-PromptReco-v.*?/DQMIO
/SingleMu/Run2015A-PromptReco-v.*?/DQMIO
/Commissioning/Run2015A-PromptReco-v.*?/DQMIO",250862,250902,"Collisions15"
"PromptReco/Collisions2015B/DQM","/ZeroBias.*?/Run2015B-PromptReco-v.*?/DQMIO
/SingleMuon/Run2015B-PromptReco-v.*?/DQMIO
/Commissioning/Run2015B-PromptReco-v.*?/DQMIO",250968,300000,"Collisions15"
"/PromptReco/Collisions2015B/DQM","/ZeroBias/Run2015B-PromptReco-v.*?/DQMIO
/SingleMuon/Run2015B-PromptReco-v.*?/DQMIO
/Commissioning/Run2015B-PromptReco-v.*?/DQMIO",251719,253658,"Collisions15"
"/PromptReco/Collisions2015C/DQM","/ZeroBias/Run2015C-PromptReco-v.*?/DQMIO
/JetHT/Run2015C-PromptReco-v.*?/DQMIO
/SinglePhoton/Run2015C-PromptReco-v.*?/DQMIO
/SingleMuon/Run2015C-PromptReco-v.*?/DQMIO",254367,254368,"Collisions15"
"/PromptReco/Collisions2015C/DQM","/ZeroBias/Run2015C-PromptReco-v.*?/DQMIO
/JetHT/Run2015C-PromptReco-v.*?/DQMIO
/SinglePhoton/Run2015C-PromptReco-v.*?/DQMIO
/SingleMuon/Run2015C-PromptReco-v.*?/DQMIO",254459,254459,"Collisions15"
"/PromptReco/Cosmics2015D/DQM","/Cosmics/Run2015D-PromptReco-v.*?/DQMIO",259289,259308,"Cosmics15"
"/PromptReco/Collisions2015D/DQM","/ZeroBias/Run2015D-PromptReco-v.*?/DQMIO
/JetHT/Run2015D-PromptReco-v.*?/DQMIO
/SinglePhoton/Run2015D-PromptReco-v.*?/DQMIO
/SingleMuon/Run2015D-PromptReco-v.*?/DQMIO",259400,300000,"Collisions15"
"/PromptReco/TotemRun/DQM","/ZeroBias/Run2015D-PromptReco-v.*?/DQMIO
/StreamExpress/Run2015D-Express-v.*?/DQMIO",259152,259431,"Collisions15"
