id,egroup,routes,createdAt
33,cms-dqm-runregistry-offline-lum-certifiers,"['/datasets/lumi/move_dataset/OPEN/SIGNOFF', '/datasets/lumi/move_dataset/OPEN/COMPLETED', '/datasets/lumi/move_dataset/SIGNOFF/COMPLETED', '/datasets/lumi/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/lumi.*', '/lumisections/edit_rr_lumisections', '/cycles/move_dataset/lumi/.*', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
24,cms-dqm-runregistry-offline-btag-certifiers,"['/datasets/btag/move_dataset/OPEN/SIGNOFF', '/datasets/btag/move_dataset/OPEN/COMPLETED', '/datasets/btag/move_dataset/SIGNOFF/COMPLETED', '/datasets/btag/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/btag.*', '/lumisections/edit_rr_lumisections', '/cycles/move_dataset/btag/.*', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
19,cms-dqm-runregistry-admins-rpc,"['/datasets/rpc/move_dataset/OPEN/SIGNOFF', '/datasets/rpc/move_dataset/OPEN/COMPLETED', '/datasets/rpc/move_dataset/SIGNOFF/COMPLETED', '/datasets/rpc/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/rpc.*', '/dc_tools/change_multiple_dataset_states/rpc/OPEN/COMPLETED', '/dc_tools/change_multiple_dataset_states/rpc/OPEN/SIGNOFF', '/dc_tools/change_multiple_dataset_states/rpc/SIGNOFF/COMPLETED', '/dc_tools/change_multiple_dataset_states/rpc/COMPLETED/SIGNOFF', '/cycles/mark_cycle_complete/rpc', '/cycles/mark_cycle_pending/rpc', '/cycles/move_dataset/rpc/.*', '/cycles/move_all_datasets_to/rpc', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
8,cms-dqm-runregistry-admins-csc,"['/datasets/csc/move_dataset/OPEN/SIGNOFF', '/datasets/csc/move_dataset/OPEN/COMPLETED', '/datasets/csc/move_dataset/SIGNOFF/COMPLETED', '/datasets/csc/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/csc.*', '/dc_tools/change_multiple_dataset_states/csc/OPEN/COMPLETED', '/dc_tools/change_multiple_dataset_states/csc/OPEN/SIGNOFF', '/dc_tools/change_multiple_dataset_states/csc/SIGNOFF/COMPLETED', '/dc_tools/change_multiple_dataset_states/csc/COMPLETED/SIGNOFF', '/cycles/mark_cycle_complete/csc', '/cycles/mark_cycle_pending/csc', '/cycles/move_dataset/csc/.*', '/cycles/move_all_datasets_to/csc', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
20,cms-dqm-runregistry-admins-tau,"['/datasets/tau/move_dataset/OPEN/SIGNOFF', '/datasets/tau/move_dataset/OPEN/COMPLETED', '/datasets/tau/move_dataset/SIGNOFF/COMPLETED', '/datasets/tau/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/tau.*', '/dc_tools/change_multiple_dataset_states/tau/OPEN/COMPLETED', '/dc_tools/change_multiple_dataset_states/tau/OPEN/SIGNOFF', '/dc_tools/change_multiple_dataset_states/tau/SIGNOFF/COMPLETED', '/dc_tools/change_multiple_dataset_states/tau/COMPLETED/SIGNOFF', '/cycles/mark_cycle_complete/tau', '/cycles/mark_cycle_pending/tau', '/cycles/move_dataset/tau/.*', '/cycles/move_all_datasets_to/tau', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
30,cms-dqm-runregistry-offline-hcal-certifiers,"['/datasets/hcal/move_dataset/OPEN/SIGNOFF', '/datasets/hcal/move_dataset/OPEN/COMPLETED', '/datasets/hcal/move_dataset/SIGNOFF/COMPLETED', '/datasets/hcal/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/hcal.*', '/lumisections/edit_rr_lumisections', '/cycles/move_dataset/hcal/.*', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
38,cms-dqm-runregistry-offline-jme-certifiers,"['/datasets/jetmet/move_dataset/OPEN/SIGNOFF', '/datasets/jetmet/move_dataset/OPEN/COMPLETED', '/datasets/jetmet/move_dataset/SIGNOFF/COMPLETED', '/datasets/jetmet/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/jetmet.*', '/lumisections/edit_rr_lumisections', '/cycles/move_dataset/jetmet/.*', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
14,cms-dqm-runregistry-admins-hlt,"['/datasets/hlt/move_dataset/OPEN/SIGNOFF', '/datasets/hlt/move_dataset/OPEN/COMPLETED', '/datasets/hlt/move_dataset/SIGNOFF/COMPLETED', '/datasets/hlt/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/hlt.*', '/dc_tools/change_multiple_dataset_states/hlt/OPEN/COMPLETED', '/dc_tools/change_multiple_dataset_states/hlt/OPEN/SIGNOFF', '/dc_tools/change_multiple_dataset_states/hlt/SIGNOFF/COMPLETED', '/dc_tools/change_multiple_dataset_states/hlt/COMPLETED/SIGNOFF', '/cycles/mark_cycle_complete/hlt', '/cycles/mark_cycle_pending/hlt', '/cycles/move_dataset/hlt/.*', '/cycles/move_all_datasets_to/hlt', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
34,cms-dqm-runregistry-offline-muo-certifiers,"['/datasets/muon/move_dataset/OPEN/SIGNOFF', '/datasets/muon/move_dataset/OPEN/COMPLETED', '/datasets/muon/move_dataset/SIGNOFF/COMPLETED', '/datasets/muon/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/muon.*', '/lumisections/edit_rr_lumisections', '/cycles/move_dataset/muon/.*', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
22,cms-dqm-runregistry-offline-tracker-shifters,"['/datasets/tracker/move_dataset/OPEN/SIGNOFF', '/datasets/tracker/move_dataset/OPEN/COMPLETED', '/datasets/tracker/move_dataset/SIGNOFF/COMPLETED', '/datasets/tracker/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/tracker.*', '/cycles/move_dataset/tracker/.*', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
13,cms-dqm-runregistry-admins-hcal,"['/datasets/hcal/move_dataset/OPEN/SIGNOFF', '/datasets/hcal/move_dataset/OPEN/COMPLETED', '/datasets/hcal/move_dataset/SIGNOFF/COMPLETED', '/datasets/hcal/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/hcal .*', '/dc_tools/change_multiple_dataset_states/hcal/OPEN/COMPLETED', '/dc_tools/change_multiple_dataset_states/hcal/OPEN/SIGNOFF', '/dc_tools/change_multiple_dataset_states/hcal/SIGNOFF/COMPLETED', '/dc_tools/change_multiple_dataset_states/hcal/COMPLETED/SIGNOFF', '/cycles/mark_cycle_complete/hcal', '/cycles/mark_cycle_pending/hcal', '/cycles/move_dataset/hcal/.*', '/cycles/move_all_datasets_to/hcal', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
39,cms-dqm-runregistry-offline-ctpps-certifiers,"['/datasets/ctpps/move_dataset/OPEN/SIGNOFF', '/datasets/ctpps/move_dataset/OPEN/COMPLETED', '/datasets/ctpps/move_dataset/SIGNOFF/COMPLETED', '/datasets/ctpps/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/ctpps.*', '/lumisections/edit_rr_lumisections', '/classifiers/json_classifier', '/cycles/move_dataset/ctpps/.*', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
15,cms-dqm-runregistry-admins-jme,"['/datasets/jetmet/move_dataset/OPEN/SIGNOFF', '/datasets/jetmet/move_dataset/OPEN/COMPLETED', '/datasets/jetmet/move_dataset/SIGNOFF/COMPLETED', '/datasets/jetmet/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/jetmet.*', '/dc_tools/change_multiple_dataset_states/jetmet/OPEN/COMPLETED', '/dc_tools/change_multiple_dataset_states/jetmet/OPEN/SIGNOFF', '/dc_tools/change_multiple_dataset_states/jetmet/SIGNOFF/COMPLETED', '/dc_tools/change_multiple_dataset_states/jetmet/COMPLETED/SIGNOFF', '/cycles/mark_cycle_complete/jetmet', '/cycles/mark_cycle_pending/jetmet', '/cycles/move_dataset/jetmet/.*', '/cycles/move_all_datasets_to/jetmet', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
35,cms-dqm-runregistry-offline-rpc-certifiers,"['/datasets/rpc/move_dataset/OPEN/SIGNOFF', '/datasets/rpc/move_dataset/OPEN/COMPLETED', '/datasets/rpc/move_dataset/SIGNOFF/COMPLETED', '/datasets/rpc/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/rpc.*', '/lumisections/edit_rr_lumisections', '/cycles/move_dataset/rpc/.*', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
21,cms-dqm-runregistry-admins-tracker,"['/datasets/tracker/move_dataset/OPEN/SIGNOFF', '/datasets/tracker/move_dataset/OPEN/COMPLETED', '/datasets/tracker/move_dataset/SIGNOFF/COMPLETED', '/datasets/tracker/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/tracker.*', '/dc_tools/change_multiple_dataset_states/tracker/OPEN/COMPLETED', '/dc_tools/change_multiple_dataset_states/tracker/OPEN/SIGNOFF', '/dc_tools/change_multiple_dataset_states/tracker/SIGNOFF/COMPLETED', '/dc_tools/change_multiple_dataset_states/tracker/COMPLETED/SIGNOFF', '/cycles/mark_cycle_complete/tracker', '/cycles/mark_cycle_pending/tracker', '/cycles/move_dataset/tracker/.*', '/cycles/move_all_datasets_to/tracker', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
26,cms-dqm-runregistry-offline-castor-certifiers,"['/datasets/castor/move_dataset/OPEN/SIGNOFF', '/datasets/castor/move_dataset/OPEN/COMPLETED', '/datasets/castor/move_dataset/SIGNOFF/COMPLETED', '/datasets/castor/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/castor.*', '/lumisections/edit_rr_lumisections', '/cycles/move_dataset/castor/.*', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
25,cms-dqm-runregistry-offline-csc-certifiers,"['/datasets/csc/move_dataset/OPEN/SIGNOFF', '/datasets/csc/move_dataset/OPEN/COMPLETED', '/datasets/csc/move_dataset/SIGNOFF/COMPLETED', '/datasets/csc/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/csc.*', '/lumisections/edit_rr_lumisections', '/cycles/move_dataset/csc/.*', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
